orderNo,transNo,memberId,dueLoanAmt,realLoanAmt,acctTempId,orderState,orderStatus,orderType,repaymentPeriod,periodType,bankName,successTime,successLogicDate,crtTime,updTime,remittanceType,UPDATE_DAY
TQYJK20180812FGzRMCgDHF,WZCL4275E384D03C445B8940B2E4A3BEA906,10212136,60000,60000,420003,99,2,1,1,2,工商银行,12AUG2018:00:46:59,12AUG2018,12AUG2018:00:46:20,12AUG2018:00:46:59,0,20181102
TQYJK201808128aK6355bto,XDCLF332CF371BE740A5AEAD1A032CDB5EC0,101181006,100000,100000,420002,99,2,1,1,1,农业银行,12AUG2018:08:41:12,12AUG2018,12AUG2018:08:38:13,12AUG2018:08:41:12,0,20181102
TQYJK20180812oc179VT3Xl,XDCL83774968DD7C4C0284B227F19F421A71,101181006,50000,50000,420002,3,0,1,1,1,农业银行,,,12AUG2018:08:42:34,12AUG2018:08:42:51,0,20181102
TQYJK20180812z8lD1ebr90,XDCL694B5A9298144D308C9B3CFCFFF3EF26,105179170,250000,250000,420002,99,2,1,3,1,建设银行,12AUG2018:08:44:47,12AUG2018,12AUG2018:08:44:11,12AUG2018:08:44:47,0,20181102
TQYJK20180812Ij3Cs07762,WZCL92324A8CA2AD4E03B40ABC6D32206768,104475352,300000,300000,420003,3,0,1,6,2,农业银行,,,12AUG2018:08:53:57,12AUG2018:08:54:07,0,20181102
TQYJK201808129noi39xEH9,,104475352,300000,300000,420003,2,0,1,6,2,农业银行,,,12AUG2018:08:55:04,,0,20181102
TQYJK20180812JHdgfsEtit,XDCLEE73C807AC3741C69A6FBB04E11BBC53,100873099,130000,130000,420002,99,2,1,1,1,建设银行,12AUG2018:09:44:56,12AUG2018,12AUG2018:09:43:34,12AUG2018:09:44:56,0,20181102
TQYJK201808126011w1Y9hx,WZCL6D67F36616BC45CABA73207BD79C6806,102706126,80000,80000,420003,99,2,1,1,2,工商银行,12AUG2018:09:57:42,12AUG2018,12AUG2018:09:57:21,12AUG2018:09:57:42,0,20181102
TQYJK20180812p6r33399fm,WZCL8886B38EDB36433DBA508E2E61157CBA,102515465,110000,110000,420003,99,2,1,1,2,建设银行,12AUG2018:10:48:57,12AUG2018,12AUG2018:10:48:38,12AUG2018:10:48:58,0,20181102
TQYJK20180812a9Jr8oARcV,XDCL3549AE76E8B94FC9A61F251080E2EEE0,101733347,150000,150000,420002,99,2,1,1,1,农业银行,12AUG2018:11:05:07,12AUG2018,12AUG2018:11:04:47,12AUG2018:11:05:07,0,20181102
TQYJK201808120B1I732072,XDCLB97993FDD48E411D8BBA0B643C3BACB6,10231380,140000,140000,420002,99,2,1,1,1,农业银行,12AUG2018:11:37:49,12AUG2018,12AUG2018:11:37:30,12AUG2018:11:37:49,0,20181102
TQYJK20180812Ew5nU1reHa,WZCL90F046EFE5F6414D82431A754B804712,100953910,230000,230000,420003,99,2,1,3,2,农业银行,12AUG2018:12:32:19,12AUG2018,12AUG2018:12:31:47,12AUG2018:12:32:20,0,20181102
TQYJK2018081293w0gfAgx3,WZCL96DE4B91BEEC46B0AEBC8F712EFDF7BC,104989017,420000,420000,420005,7,4,1,12,2,中国邮政储蓄银行,12AUG2018:13:14:48,12AUG2018,12AUG2018:13:14:32,12AUG2018:13:20:02,0,20181102
TQYJK20180812OZ2MlBV7F0,,101439861,50000,50000,420002,2,0,1,1,1,中国银行,,,12AUG2018:13:24:14,,0,20181102
TQYJK20180812808i40i671,XDCL1D4F64A0B2B04D19B2693E803C0B99F9,101439861,50000,50000,420002,99,2,1,1,1,中国银行,12AUG2018:13:24:40,12AUG2018,12AUG2018:13:24:24,12AUG2018:13:24:40,0,20181102
TQYJK20180812aV36293167,XDCLD45B3FC041084F20A5D8B259F306F1AC,103065486,130000,130000,420002,99,2,1,1,1,交通银行,12AUG2018:14:18:04,12AUG2018,12AUG2018:14:17:50,12AUG2018:14:18:05,0,20181102
TQYJK20180812GI6Z7EPc36,XDCL2F44ED1F0F34453FB63C742B288F3A22,100917770,80000,80000,420002,3,0,1,1,1,交通银行,,,12AUG2018:14:22:36,12AUG2018:14:22:43,0,20181102
TQYJK20180812f5kkA82b30,XDCLCC82C0125A7743D9A9057B099C79BBF9,100917770,80000,80000,420002,99,2,1,1,1,交通银行,12AUG2018:14:23:26,12AUG2018,12AUG2018:14:23:04,12AUG2018:14:23:26,0,20181102
TQYJK20180812248G842Xca,XDCL07338CAF8F1748C28C97524255CA8D67,103838224,100000,100000,420002,3,0,1,1,1,招商银行,,,12AUG2018:15:02:16,12AUG2018:15:02:20,0,20181102
TQYJK201808122f591g38yC,XDCLCB19B5F505974C45A3D1AB31B4759F7F,103838224,100000,100000,420002,99,2,1,1,1,招商银行,12AUG2018:15:02:50,12AUG2018,12AUG2018:15:02:36,12AUG2018:15:02:51,0,20181102
TQYJK20180812p0Nf143e83,WZCLDE8840CC22304AB3BF22E8E8CBA8C4C1,10082503,130000,130000,420003,99,2,1,1,2,农业银行,12AUG2018:15:45:48,12AUG2018,12AUG2018:15:45:24,12AUG2018:15:45:49,0,20181102
TQYJK201808125TSAzQ94C9,XDCL49E8D03548E5423989C04E5636BA2BFD,101181006,50000,50000,420002,99,2,1,1,1,农业银行,12AUG2018:16:45:37,12AUG2018,12AUG2018:16:42:09,12AUG2018:16:45:37,0,20181102
TQYJK20180812S435s6M632,WZCL784FAE8B21C34954BD0F6FC38BA15760,10467765,220000,220000,420003,99,2,1,3,2,工商银行,12AUG2018:16:47:46,12AUG2018,12AUG2018:16:46:21,12AUG2018:16:47:47,0,20181102
TQYJK201808124i0w2rRy6A,XDCLBA73534084BC4EEFAED1C8E0F27DC90A,101122484,270000,270000,420002,99,2,1,3,1,建设银行,12AUG2018:16:51:48,12AUG2018,12AUG2018:16:51:29,12AUG2018:16:51:48,0,20181102
TQYJK201808125777T4j72l,WZCLD4141C793DA741C08AE059B90C695A22,10211534,170000,170000,420003,99,2,1,3,2,建设银行,12AUG2018:19:42:58,12AUG2018,12AUG2018:19:42:41,12AUG2018:19:42:59,0,20181102
TQYJK2018081279fnAf73Gh,XDCL29B00C7E244C40E3BF2504681720A19F,104501127,150000,150000,420002,99,2,1,1,1,建设银行,12AUG2018:19:51:19,12AUG2018,12AUG2018:19:51:05,12AUG2018:19:51:20,0,20181102
TQYJK20180812I61520x719,XDCLD3E8A6D1581741DC92036ECD87C2385E,103606766,150000,150000,420002,99,2,1,1,1,中信银行,12AUG2018:22:18:16,12AUG2018,12AUG2018:22:17:50,12AUG2018:22:18:16,0,20181102
TQYJK20180813quILXySOgg,,103061517,140000,140000,420003,2,0,1,1,2,农业银行,,,13AUG2018:01:35:09,,0,20181102
TQYJK20180813D37r20DWt8,WZCLAD4CBBEF29874C03B553AFC772326DC3,103061517,140000,140000,420003,99,2,1,1,2,农业银行,13AUG2018:01:35:41,13AUG2018,13AUG2018:01:35:21,13AUG2018:01:35:42,0,20181102
TQYJK20180813t089JDOQ6W,XDCL15D16017A71042A7B9F50AFCA9C2CDB3,10271249,150000,150000,420002,99,2,1,1,1,中国银行,13AUG2018:02:44:15,13AUG2018,13AUG2018:02:43:56,13AUG2018:02:44:16,0,20181102
TQYJK20180813T2F7181339,,103789204,100000,0,,1,3,1,1,1,工商银行,,,13AUG2018:03:06:16,,,20181102
TQYJK20180813F3xY16PfqU,,103789204,100000,0,,1,3,1,1,1,工商银行,,,13AUG2018:03:06:22,,,20181102
TQYJK20180813Pf0r8Jo912,,103789204,100000,0,,1,3,1,1,1,工商银行,,,13AUG2018:03:06:39,,,20181102
TQYJK201808135N81wVbHo8,XDCL187AC300E92047DAA171BE8852FB3A75,103789204,100000,100000,420002,99,2,1,1,1,工商银行,13AUG2018:03:07:35,13AUG2018,13AUG2018:03:06:55,13AUG2018:03:07:36,0,20181102
TQYJK20180813501tFUQK76,WZCL5F1FF0CC99754BBBB16D2E83B9D2773D,104475352,300000,300000,420003,3,0,1,6,2,农业银行,,,13AUG2018:06:12:54,13AUG2018:06:13:05,0,20181102
TQYJK20180813n4262Y342N,WZCLE61D276E450846ADA3B73DDE35A06580,104475352,300000,300000,420003,99,2,1,6,2,农业银行,13AUG2018:06:23:19,13AUG2018,13AUG2018:06:22:27,13AUG2018:06:23:20,0,20181102
TQYJK20180813jDLn4p2t24,,10487241,150000,150000,420002,2,0,1,1,1,农业银行,,,13AUG2018:08:03:34,,0,20181102
TQYJK201808134cQ683ahp3,,10487241,150000,150000,420002,2,0,1,1,1,农业银行,,,13AUG2018:08:03:51,,0,20181102
TQYJK20180813CWEDz0O5Z7,XDCLCA7350D35E4848FA8CB5F08E53786D9D,10487241,150000,150000,420002,99,2,1,1,1,农业银行,13AUG2018:08:04:36,13AUG2018,13AUG2018:08:04:08,13AUG2018:08:04:36,0,20181102
TQYJK20180813m386M392kd,XDCLBB4B5EC4033C4F71892C699DE2559F3C,100220443,110000,110000,420002,99,2,1,1,1,建设银行,13AUG2018:09:10:38,13AUG2018,13AUG2018:09:10:19,13AUG2018:09:10:39,0,20181102
TQYJK20180813T4xx55M3HR,WZCLD85B241FA7C54FDA8C73929AF374C3A5,102336382,620000,620000,420005,99,2,1,3,2,中国银行,13AUG2018:09:27:02,13AUG2018,13AUG2018:09:26:41,13AUG2018:09:27:06,0,20181102
TQYJK20180813NzOkt06uDh,XDCLB7C7DEA523C94FC18EE538C78C64CBDA,101163772,450000,450000,420002,99,2,1,3,1,招商银行,13AUG2018:09:28:15,13AUG2018,13AUG2018:09:27:53,13AUG2018:09:28:15,0,20181102
TQYJK20180813875120i1x6,WZCLF548ADC5200A45C1AE521D60F590CBAD,102336382,160000,160000,420005,3,0,1,3,2,中国银行,,,13AUG2018:09:52:35,13AUG2018:09:52:40,0,20181102
TQYJK20180813Jl53p6301B,WZCL75631232E29D4B6B9E86456CA44DECA5,102336382,160000,160000,420005,99,2,1,3,2,中国银行,13AUG2018:09:53:09,13AUG2018,13AUG2018:09:52:52,13AUG2018:09:53:13,0,20181102
TQYJK2018081323XR27104J,XDCL041F909A08C94499B3708D776795F647,104121732,130000,130000,420002,99,2,1,1,1,建设银行,13AUG2018:10:38:51,13AUG2018,13AUG2018:10:38:34,13AUG2018:10:38:51,0,20181102
TQYJK20180813M004P547m0,XDCL12A76E788A63431D865DEA2BD5063D9E,104581675,140000,140000,420002,99,2,1,1,1,建设银行,13AUG2018:11:20:01,13AUG2018,13AUG2018:11:19:45,13AUG2018:11:20:01,0,20181102
TQYJK20180813GA3iIc2F61,XDCL8FE9192237B54876802C548CDB7BE763,101504886,290000,290000,420002,99,2,1,3,1,工商银行,13AUG2018:11:29:33,13AUG2018,13AUG2018:11:29:20,13AUG2018:11:29:33,0,20181102
TQYJK20180813545R1104Un,XDCLE7368279108E462B854FC695C7896F35,102409597,100000,100000,420002,99,2,1,1,1,建设银行,13AUG2018:11:39:19,13AUG2018,13AUG2018:11:39:00,13AUG2018:11:39:19,0,20181102
TQYJK20180813G4258521v4,XDCLF02D1CBEB8BA4DBE866D18A4CF6C7A8F,10231380,140000,140000,420002,99,2,1,1,1,农业银行,13AUG2018:12:01:02,13AUG2018,13AUG2018:12:00:45,13AUG2018:12:01:02,0,20181102
