id,memberId,orderNo,bizOrderNo,loanAmount,loanDate,isFree,freeNum,interestType,feeRate,rateType,totalNum,payNum,nextRepayDate,overdueNum,orderStatus,isOverdue,cancelFlag,channelType,acctTempId,logicTime,parentOrderNo,orderType,totalPayAmt,serviceFee,totalInitFee,totalAmt,totalPrincipal,totalFee,totalOverdue,totalLatefee,totalAdvanceFee,totalRepayPoundage,totalRepayDiscountfee,totalLoanDiscountfee,totalDayLoanDiscountfee,totalPayLoanDiscountfee,loanDiscountfeeType,loanDiscountfeeAmt,loanDiscountfeeRate,remainTotalAmt,remainTotalPrincipal,remainTotalFee,remainTotalOverdue,remainTotalLatefee,refundDate,refundTotalAmt,waiverTotalAmt,deleted,crtTime,uptTime,deferredFlag,loanTerm,loanTermUnit,UPDATE_DAY
4214,101175817,TQYJK201703257R72ptPtcR,,80000,25MAR2017,0,0,1,0.0550,3,3,3,25JUN2017,0,2,0,0,C001,420002,20APR2017:17:02:07,,1,81144,0,2699,81144,80000,1144,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,25MAR2017:10:04:03,20APR2017:00:01:06,,,,20181102
4219,103395155,TQYJK201703251bO7441610,,50000,25MAR2017,0,0,1,0.0550,3,3,3,25JUN2017,0,2,0,0,C001,420002,26JUN2017:03:12:23,,1,51694,0,1687,51694,50000,1660,34,0,28,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,25MAR2017:11:49:58,25JUN2017:00:01:03,,,,20181102
4348,104455516,TQYJK20170328E3z0w37CpS,,80000,28MAR2017,0,0,1,0.0500,3,3,3,28JUN2017,0,2,0,0,C001,420002,27JUN2017:09:47:20,,1,82373,0,2453,82373,80000,2346,27,0,93,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,28MAR2017:02:24:31,27JUN2017:00:01:05,,,,20181102
4386,102451307,TQYJK20170328wH067tTr31,,50000,28MAR2017,0,0,1,0.0500,3,3,3,28JUN2017,0,2,0,0,C001,420002,29JUN2017:22:45:50,,1,51567,0,1533,51567,50000,1533,34,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,28MAR2017:19:24:14,28JUN2017:00:01:06,,,,20181102
4388,104360890,TQYJK201703282017992I93,,400000,28MAR2017,0,0,1,0.0500,3,6,3,28JUL2017,3,1,1,0,C001,420002,02NOV2018:00:05:41,,1,216805,0,21433,509538,400000,21433,88105,0,0,0,0,0,0,0,0,0,0.0000,292733,200002,6100,86631,0,,0,0,0,28MAR2017:20:40:05,28SEP2017:00:01:03,,,,20181102
4405,104006682,TQYJK201703296A518Ms1t5,,270000,29MAR2017,0,0,1,0.0550,3,3,3,28JUN2017,0,2,0,0,C001,420002,21JUN2017:11:41:34,,1,278118,0,8960,278118,270000,8118,0,0,792,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,29MAR2017:09:13:41,21JUN2017:00:01:07,,,,20181102
4413,102933050,TQYJK201703298AG09q2na1,,80000,29MAR2017,0,0,1,0.0500,3,3,3,28JUN2017,0,2,0,0,C001,420002,28JUN2017:14:19:10,,1,82494,0,2413,82494,80000,2413,81,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,29MAR2017:11:11:55,28JUN2017:00:01:06,,,,20181102
4473,100783085,TQYJK2017033025iL169aw7,,200000,30MAR2017,0,0,1,0.0550,3,3,3,28JUN2017,0,2,0,0,C001,420002,23APR2017:14:58:21,,1,202640,0,6527,202640,200000,2640,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,30MAR2017:11:29:19,23APR2017:00:01:01,,,,20181102
4486,103838224,TQYJK201703305M59uU233S,,110000,30MAR2017,0,0,1,0.0550,3,3,3,28JUN2017,0,2,0,0,C001,420002,23JUN2017:17:38:44,,1,113388,0,3590,113388,110000,3388,0,0,101,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,30MAR2017:14:31:19,23JUN2017:00:01:10,,,,20181102
4531,103838224,TQYJK20170331RB1069OCmT,,120000,31MAR2017,0,0,1,0.0550,3,3,3,28JUN2017,0,2,0,0,C001,420002,23JUN2017:17:40:26,,1,123608,0,3850,123608,120000,3608,0,0,154,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,31MAR2017:09:52:33,23JUN2017:00:01:11,,,,20181102
4695,10471981,TQYJK2017040217g0k0pwq4,,50000,02APR2017,0,0,1,0.0500,3,3,3,02JUL2017,0,2,0,0,C001,420002,24JUN2017:10:49:08,,1,51400,0,1517,51400,50000,1400,0,0,84,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,02APR2017:12:35:43,24JUN2017:00:01:05,,,,20181102
4719,104038994,TQYJK20170402XwQ64VGJ57,,210000,02APR2017,0,0,1,0.0550,3,3,3,02JUL2017,0,2,0,0,C001,420002,08MAY2017:10:26:45,,1,140539,0,7007,213889,210000,3889,0,0,77,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,02APR2017:21:45:19,08MAY2017:00:01:05,,,,20181102
4787,103817048,TQYJK2017040417Yi4u63jC,,110000,04APR2017,0,0,1,0.0550,3,3,3,04JUL2017,0,2,0,0,C001,420002,03MAY2017:08:18:01,,1,36789,0,3670,111513,110000,1513,0,0,121,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,04APR2017:10:23:39,27APR2017:00:01:09,,,,20181102
4974,101306734,TQYJK201704068J1593B2HH,,500000,06APR2017,0,0,1,0.0500,3,6,6,06OCT2017,0,2,0,0,C001,420002,06OCT2017:15:29:33,,1,526624,0,26666,526624,500000,26624,0,0,125,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,06APR2017:17:01:28,06OCT2017:00:01:03,,,,20181102
5003,105127814,TQYJK20170407K2Y28j6lgC,,90000,07APR2017,0,0,1,0.0550,3,3,3,07JUL2017,0,2,0,0,C001,420002,06JUL2017:13:23:22,,1,92427,0,3003,92427,90000,2427,0,0,1007,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,07APR2017:02:12:46,06JUL2017:00:01:06,,,,20181102
5105,105052573,TQYJK20170408Cmg7ljI404,,100000,08APR2017,0,0,1,0.0550,3,3,3,08JUL2017,0,2,0,0,C001,420002,07JUN2017:10:55:55,,1,102531,0,3337,102531,100000,2531,0,0,404,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,08APR2017:12:42:39,05JUN2017:00:01:12,,,,20181102
5302,103698250,TQYJK201704101370g046m2,,50000,10APR2017,0,0,1,0.0550,3,3,3,10JUL2017,0,2,0,0,C001,420002,10JUL2017:18:46:07,,1,51641,0,1668,51641,50000,1641,0,0,36,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,10APR2017:15:12:12,10JUL2017:00:01:09,,,,20181102
5396,102058051,TQYJK20170411v864o61218,,100000,11APR2017,0,0,1,0.0550,3,3,3,11JUL2017,0,2,0,0,C001,420002,12JUL2017:18:06:19,,1,103405,0,3337,103405,100000,3337,68,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,11APR2017:11:17:46,11JUL2017:00:01:08,,,,20181102
5441,100049700,TQYJK20170411DBL0E489tQ,,120000,11APR2017,0,0,1,0.0550,3,3,3,11JUL2017,0,2,0,0,C001,420002,05JUL2017:14:12:30,,1,123872,0,4004,123872,120000,3872,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,11APR2017:20:41:13,05JUL2017:00:01:05,,,,20181102
5600,101916042,TQYJK20170413Mp8Rw2TML7,,50000,13APR2017,0,0,1,0.0550,3,3,3,13JUL2017,0,2,0,0,C001,420002,15JUN2017:15:19:39,,1,51402,0,1668,51402,50000,1402,0,0,18,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,13APR2017:08:43:24,15JUN2017:00:01:06,,,,20181102
5780,1022092,TQYJK20170414E4lwS0HV39,,2250000,14APR2017,0,0,1,0.0400,3,6,6,14OCT2017,0,2,0,0,C001,420002,12OCT2017:09:30:08,,1,2345250,0,96000,2345250,2250000,95250,0,0,1650,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,14APR2017:17:40:29,12OCT2017:00:01:05,,,,20181102
5798,104223002,TQYJK20170415U80y5v1Lje,,600000,15APR2017,0,0,1,0.0500,3,12,12,15APR2018,0,2,0,0,C001,420002,15APR2018:13:36:29,,1,657350,0,59450,657350,600000,57350,0,0,13025,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,15APR2017:01:10:44,15APR2018:00:01:00,,,,20181102
